GoalFlag,9,19,185.63
StartPoint,-2,20.73,-43
StartFlag,3.49,17,-38
BillboardTree,14,19,24.7
BillboardTree,-9.37,19,24.7
BreakableBlock,-14,15,90
Block,0,0,162
BreakableBlock,-20,15,32
BreakableBlock,-2,15,66
Block,-12,0,75
BreakableBlock,14,3,92
BreakableBlock,20,3,44
Block,-12,0,-3
BreakableBlock,18,13,40
BreakableBlock,-14,3,70
BreakableBlock,14,5,32
BreakableBlock,18,15,56
Block,24,0,-54
Block,6,0,45
BreakableBlock,-8,9,76
BreakableBlock,22,3,70
BreakableBlock,-18,3,56
BreakableBlock,10,11,64
BreakableBlock,10,5,66
BreakableBlock,24,5,40
BreakableBlock,18,15,74
BreakableBlock,-18,5,64
BreakableBlock,-18,5,58
BreakableBlock,24,11,92
BreakableBlock,-6,5,46
Block,-36,0,174
BreakableBlock,-6,11,30
Block,6,0,-12
BreakableBlock,20,13,62
BreakableBlock,4,5,56
Block,-51,0,204
BreakableBlock,18,11,80
BreakableBlock,12,7,90
BreakableBlock,2,5,54
BreakableBlock,-20,7,36
Block,3,0,153
Block,-57,0,162
Block,12,0,72
BreakableBlock,-14,9,46
Block,30,0,-3
Block,-30,0,150
BreakableBlock,6,5,32
Block,0,0,-9
BreakableBlock,-14,5,58
BreakableBlock,8,5,92
Block,-3,0,-15
BreakableBlock,-18,15,36
Block,-21,0,114
Block,36,0,108
Block,15,0,75
Block,0,0,84
Block,21,0,-45
BreakableBlock,-4,3,64
Block,18,0,159
BreakableBlock,6,3,48
BreakableBlock,18,9,50
Block,15,0,54
Block,51,0,114
Block,-6,0,-39
BreakableBlock,2,9,30
BreakableBlock,14,15,80
BreakableBlock,12,7,58
Block,-6,0,96
BreakableBlock,-18,13,72
BreakableBlock,16,5,90
BreakableBlock,16,9,58
BreakableBlock,-8,5,88
BreakableBlock,-10,7,74
BreakableBlock,-6,11,38
Block,12,0,84
BreakableBlock,-2,13,84
BreakableBlock,8,11,30
BreakableBlock,-20,15,76
Block,6,0,156
BreakableBlock,-14,5,38
BreakableBlock,-10,13,56
BreakableBlock,16,9,92
Block,-57,0,135
BreakableBlock,4,13,76
BreakableBlock,-22,11,64
